!TheSky Version 10.5.0 Build 13638 (64 bit)
ASCOM Mount
:NODA
:EQUAT
+39 00 25 2023 9 1 21.70 992.00 228.00  0.96 0.5500 0.0065
18 36 26.0213 +77 47 53.139 18 04 46.8191 +77 36 25.053  22 41.127 
19 01 07.3529 +75 24 08.624 18 31 06.8761 +75 12 29.683  22 41.539 
19 55 53.9659 +72 24 25.609 19 27 09.5292 +72 12 32.938  22 41.974 
20 20 16.3114 +68 47 12.427 19 52 49.1854 +68 35 49.102  22 42.372 
19 32 58.1882 +67 26 28.054 19 06 09.6799 +67 15 05.064  22 42.803 
19 37 42.9959 +63 59 06.842 19 11 44.1063 +63 48 18.010  22 43.184 
20 02 40.0489 +64 03 55.640 19 36 32.9891 +63 53 15.212  22 43.597 
19 46 52.7117 +60 59 03.547 19 21 25.3551 +60 48 43.525  22 43.965 
19 30 23.6312 +60 40 48.775 19 05 04.4261 +60 30 40.077  22 44.343 
19 38 02.9614 +57 23 45.912 19 13 11.5161 +57 14 01.767  22 44.725 
19 07 59.4290 +56 14 24.136 18 43 26.0825 +56 15 08.853  22 45.138 
19 19 04.7697 +52 26 10.032 18 54 55.2084 +52 27 31.069  22 45.527 
19 35 18.0410 +51 54 01.279 19 11 07.1211 +51 55 26.036  22 45.911 
19 28 29.4991 +47 55 06.760 19 04 42.6937 +47 57 07.440  22 46.284 
19 15 21.9836 +48 08 13.686 18 51 38.4543 +48 10 28.327  22 46.661 
18 56 10.8016 +47 02 53.827 18 32 39.2819 +47 05 28.003  22 47.060 
18 53 03.4345 +49 47 09.637 18 29 18.9853 +49 49 28.630  22 47.453 
18 35 03.2021 +48 41 26.288 18 11 31.3529 +48 43 46.803  22 47.834 
18 34 50.3832 +45 11 19.797 18 11 36.5759 +45 14 00.980  22 48.203 
18 43 53.3171 +41 48 04.665 18 20 51.7590 +41 51 30.144  22 48.584 
18 57 56.5150 +42 58 46.579 18 34 45.8720 +43 02 04.635  22 48.989 
19 09 49.9893 +43 57 51.369 18 46 31.3124 +44 00 50.048  22 49.373 
19 22 27.6151 +39 48 22.666 18 59 22.0712 +39 52 19.229  22 49.768 
19 10 20.7213 +39 05 34.635 18 47 21.8218 +39 09 16.454  22 50.151 
18 54 58.6641 +37 26 00.186 18 32 11.4700 +37 30 08.924  22 50.531 
18 49 35.0741 +33 29 23.545 18 27 04.2571 +33 34 13.824  22 50.910 
18 44 05.8963 +31 57 17.443 18 21 44.0614 +32 02 21.261  22 51.262 
18 51 20.2148 +28 24 51.455 18 29 07.6923 +28 30 35.366  22 51.645 
19 00 37.5683 +28 59 53.388 18 38 20.4775 +29 05 32.195  22 52.031 
19 11 02.0638 +25 56 13.982 18 48 50.2933 +26 02 38.028  22 52.427 
19 21 53.3259 +22 37 17.446 18 59 47.5994 +22 44 09.365  22 52.812 
19 07 59.7667 +20 43 40.362 18 46 05.4307 +20 50 42.873  22 53.200 
18 57 02.0248 +19 53 19.728 18 35 15.5827 +20 00 25.963  22 53.571 
18 53 49.3667 +22 33 40.446 18 31 58.2492 +22 40 32.958  22 53.949 
18 55 50.7356 +23 29 35.873 18 33 55.1833 +23 36 30.991  22 54.323 
18 38 28.7187 +26 17 09.031 18 16 33.2024 +26 23 28.312  22 54.709 
18 13 08.0707 +35 52 26.067 17 50 53.0703 +35 57 40.473  22 55.134 
18 29 43.9546 +34 59 46.558 18 07 24.3678 +35 05 02.099  22 55.525 
18 36 09.9623 +39 29 12.127 18 13 28.9612 +39 33 46.160  22 55.925 
18 22 59.5309 +43 23 14.191 18 00 08.0296 +43 27 22.218  22 56.319 
18 03 56.7387 +46 11 45.066 17 41 00.7038 +46 15 36.493  22 56.705 
17 53 02.1905 +48 04 43.610 17 30 03.5765 +48 08 24.998  22 57.081 
17 59 14.1008 +43 27 40.321 17 36 35.5652 +43 31 59.697  22 57.471 
18 19 51.9007 +50 59 39.528 17 56 22.8475 +51 02 48.514  22 57.875 
18 41 32.0848 +52 39 56.040 18 17 43.9520 +52 42 11.921  22 58.277 
18 55 30.3639 +54 42 32.460 18 31 23.1435 +54 44 37.845  22 58.668 
18 58 24.4914 +59 24 03.539 18 33 36.9864 +59 25 03.476  22 59.070 
18 40 54.7868 +60 59 22.829 18 15 59.3847 +61 00 28.672  22 59.448 
19 00 38.5299 +62 51 33.075 18 35 15.2129 +62 51 46.554  22 59.854 
18 59 56.0865 +66 27 17.051 18 33 45.3441 +66 26 46.518  23  0.239 
18 21 43.8383 +68 57 54.815 17 55 07.5693 +68 57 49.575  23  0.652 
18 53 38.4325 +71 07 27.475 18 26 03.5594 +70 56 36.555  23  1.075 
18 16 29.5653 +72 21 27.919 17 48 42.5346 +72 21 13.126  23  1.489 
17 32 59.0791 +69 21 48.420 17 06 45.3607 +69 23 00.720  23  1.909 
17 08 58.1646 +71 25 01.558 16 42 20.3633 +71 26 37.454  23  2.296 
17 13 06.9496 +73 04 56.394 16 45 45.3175 +73 06 37.330  23  2.682 
17 56 02.6987 +66 37 51.888 17 30 23.2020 +66 38 43.057  23  3.123 
18 12 02.2535 +64 00 47.450 17 46 50.0991 +64 01 37.624  23  3.523 
18 07 29.8406 +61 35 00.025 17 42 47.2246 +61 36 16.304  23  3.915 
17 52 16.0849 +57 23 12.789 17 28 18.7731 +57 25 35.598  23  4.300 
18 10 45.6616 +53 51 12.431 17 47 06.7870 +53 53 33.606  23  4.700 
18 27 09.9410 +56 12 11.456 18 03 07.2259 +56 14 15.554  23  5.101 
17 24 23.6781 +62 44 58.865 16 59 53.9087 +62 47 15.483  23  5.545 
20 48 56.3267 +60 55 05.045 20 23 21.2223 +60 45 14.453  23  6.206 
20 42 07.7765 +57 27 48.767 20 17 09.0476 +57 18 17.381  23  7.504 
20 49 11.8420 +53 53 08.734 20 24 37.7048 +53 44 27.588  23  7.889 
20 41 08.8205 +51 01 42.396 20 16 54.7970 +51 03 44.526  23  8.278 
20 20 52.8860 +50 00 07.796 19 56 49.7850 +50 02 12.555  23  8.684 
20 24 51.7816 +53 56 04.132 20 00 21.7624 +53 57 30.265  23  9.084 
21 11 54.3923 +56 54 45.683 20 46 51.6864 +56 45 45.798  23  9.529 
21 39 32.3848 +57 40 52.888 21 14 18.1928 +57 31 54.018  23  9.963 
21 31 18.5265 +60 01 22.465 21 05 43.9288 +59 51 52.360  23 10.370 
21 55 35.2183 +60 20 55.350 21 29 51.7038 +60 11 41.709  23 10.787 
22 03 32.0042 +62 43 50.483 21 37 17.8064 +62 34 15.150  23 11.188 
21 28 09.0323 +63 18 33.808 21 01 55.2974 +63 08 26.942  23 11.619 
22 10 10.1273 +56 44 54.671 21 44 57.1694 +56 36 15.448  23 12.060 
22 04 47.1810 +52 07 30.978 21 40 08.4096 +51 59 34.934  23 12.468 
21 59 06.6984 +48 01 43.423 21 34 52.7833 +47 54 37.953  23 12.871 
21 36 32.5253 +48 47 03.033 21 12 18.6990 +48 41 07.237  23 13.278 
21 23 26.9411 +48 31 09.331 20 59 17.5764 +48 33 50.097  23 13.667 
21 16 07.2187 +45 15 31.462 20 52 16.1811 +45 18 34.257  23 14.053 
21 12 09.2442 +41 48 45.295 20 48 34.4106 +41 52 38.905  23 14.428 
